names,scores,method,logfoldchanges,pvals,pvals_adj
atp5j.L,0.047814745,logreg_bal,,,
btg1.L,0.04771094,logreg_bal,,,
yeats4.L,0.047480002,logreg_bal,,,
Xelaev18045083m.g,0.047169294,logreg_bal,,,
rhof.L,0.047143947,logreg_bal,,,
sri.L,0.046975564,logreg_bal,,,
srsf11.like.S,0.0469123,logreg_bal,,,
hey1.L,0.046890333,logreg_bal,,,
loc100490088.L,0.046879597,logreg_bal,,,
pzp.L,0.04683042,logreg_bal,,,
tp73.L,0.0467888,logreg_bal,,,
Xelaev18036372m.g,0.046636403,logreg_bal,,,
loc100496521.L,0.04642844,logreg_bal,,,
acsl1.L,0.046191536,logreg_bal,,,
Xelaev18003383m.g,0.045883246,logreg_bal,,,
brd9.L,0.04571341,logreg_bal,,,
frem2.S,0.045647886,logreg_bal,,,
bambi.S,0.045550525,logreg_bal,,,
fbn3.L,0.045462355,logreg_bal,,,
col27a1.S,0.0454057,logreg_bal,,,
alas2.S,0.045397602,logreg_bal,,,
chd1.L,0.04523199,logreg_bal,,,
irs4.L,0.04519291,logreg_bal,,,
bace2.L,0.045107953,logreg_bal,,,
uqcrfs1.S,0.045005582,logreg_bal,,,
kif26a.L,0.04482433,logreg_bal,,,
sp8.S,0.044792123,logreg_bal,,,
mafb.L,0.04470231,logreg_bal,,,
mob2.2.S,0.044513974,logreg_bal,,,
hmgcl.S,0.044263326,logreg_bal,,,
myo9b.L,0.04405537,logreg_bal,,,
myl12b.L,0.04382937,logreg_bal,,,
tmem30a.L,0.043700006,logreg_bal,,,
ctdsp2.L,0.043563876,logreg_bal,,,
pa2g4.L,0.04346758,logreg_bal,,,
pdcd5.S,0.043369185,logreg_bal,,,
vwa2.S,0.043253336,logreg_bal,,,
Xelaev18003505m.g,0.043192584,logreg_bal,,,
ppox.L,0.043161903,logreg_bal,,,
mus81.L,0.04315446,logreg_bal,,,
stmn1.L,0.04311477,logreg_bal,,,
myl6.S,0.042979605,logreg_bal,,,
Xelaev18043640m.g,0.042891707,logreg_bal,,,
c9orf3.L,0.042876355,logreg_bal,,,
loc100488382.L,0.042824678,logreg_bal,,,
fkbp2.L,0.04278096,logreg_bal,,,
ywhab.S,0.042750407,logreg_bal,,,
fam132b.L,0.04272603,logreg_bal,,,
