cluster,n_cells,e_internal,a_strength,Q_contrib,count,mean,median,min,max
4,2598,14237.666553871066,31113.720351792756,0.13560284607627643,2598,-0.014992662,-0.0122049665,-0.17448139,0.027285032
5,1844,11795.10580905946,24019.10660288576,0.12037811704812364,1844,0.008759973,0.012575147,-0.1398204,0.048082102
10,1147,6541.275645512622,15164.687064996222,0.06997243762108837,1147,0.030387543,0.025379559,-0.09962373,0.13863105
6,948,5554.603398039006,12371.221975876018,0.060926370919934476,948,0.0187768,0.018965553,-0.14608233,0.07637876
0,873,5205.801259915694,11692.005102556897,0.05734099227742146,873,0.06839402,0.063935645,-0.039191764,0.19971767
3,806,4599.335434503737,10441.163232683903,0.05108089002559292,806,0.029662449,0.029725872,-0.052926037,0.070261635
7,700,4290.003913920184,8963.84070560112,0.04840744529113823,700,0.0736944,0.07348616,-0.06627134,0.15454017
9,505,3207.763823845773,6537.890940469457,0.03681489479619014,505,0.04150214,0.041624296,-0.112783186,0.10831338
1,489,3055.0587300005136,6215.179294922156,0.03513664542785014,489,0.089431524,0.10274722,-0.16977862,0.20033257
8,351,1860.3403469482437,4255.99645606149,0.021589213825361577,351,0.022269966,0.023520967,-0.078183495,0.083834305
18,293,1814.7868643474153,3773.1155798409773,0.021183203312265416,293,0.043298274,0.050940037,-0.12131031,0.108801134
11,246,1581.9186906572431,3248.0984385581687,0.018531451506815396,246,0.19099705,0.19312936,0.032989565,0.29569587
2,206,1329.5504042836583,2678.022209257768,0.01563562193183782,206,0.09627312,0.099120766,0.021683611,0.14933614
12,226,1327.567786378786,2806.237903491594,0.015586809124209403,226,0.114674635,0.12473568,-0.021968236,0.20233431
13,214,1246.6705778492615,2840.3187160547823,0.014612992031554703,214,0.09874313,0.09820129,-0.011308698,0.20980975
34,116,717.1003418676555,1442.4138120040298,0.008497006450319453,116,0.4657566,0.48574737,-0.0057441085,0.602598
22,129,697.9114274010062,1647.7877642028034,0.008244978538767602,129,0.06340446,0.0631416,-0.046151556,0.17458361
26,110,666.4581452161074,1378.2783990353346,0.00789815460325774,110,0.11667423,0.12116836,0.026231406,0.19929549
23,111,640.1147515811026,1355.9302991479635,0.007585461193621087,111,0.078996934,0.08022276,-0.011544739,0.15049906
15,104,504.8934096017397,1197.9261532572982,0.005983607457445118,104,-0.022952756,-0.018420612,-0.13208656,0.071872704
32,78,482.9598787971772,972.3242220776156,0.005738929059571358,78,0.14727636,0.15021457,0.01582971,0.21333313
24,77,468.97986807860434,951.2250951863825,0.005573279134431921,77,0.19815104,0.20366414,0.01987843,0.30816078
36,76,462.669117603451,943.9000385878608,0.005498344161125877,76,0.076551,0.076708004,-0.006655924,0.13242172
17,74,459.6464444482699,923.9167997185141,0.005463548057806163,74,0.19271718,0.19190961,0.08206357,0.27580988
27,85,433.55066227167845,985.9714527502656,0.00514739872679707,85,0.010135147,0.013264665,-0.12079181,0.118824795
28,70,414.20228731374664,896.1752832286647,0.004922169047505225,70,0.07712103,0.07618121,0.027741104,0.14172034
21,65,375.30106972157955,791.1181944888085,0.004463523976395395,65,0.11467212,0.12832381,-0.0070607737,0.2140921
35,69,375.0223024263978,827.0706581659615,0.004458114000931929,69,0.16402528,0.16730006,0.07399746,0.27423298
38,73,360.91183194471523,859.1051113316789,0.004287525859170668,73,0.054563366,0.07049963,-0.15234812,0.14881971
19,56,337.77600620593876,684.9969315007329,0.00402059142014055,56,0.092041746,0.09742467,0.01591152,0.1571492
20,56,319.9605190232396,653.6964033059776,0.003809144046407778,56,0.15731004,0.17334151,-0.03522763,0.23297963
39,53,315.9028998683207,648.1830639084801,0.0037609007240980382,53,0.24025917,0.26340243,0.014299719,0.34653765
16,41,229.82324768975377,503.87641533464193,0.002737950510924201,41,0.09680364,0.09464051,0.022465574,0.1680861
25,36,222.05564559996128,444.7235942184925,0.002647110508134399,36,0.12172135,0.117814876,0.051047362,0.2032899
31,36,202.74362272024155,420.4508530572057,0.002417028879302285,36,0.10242097,0.10760329,0.012644354,0.1565613
41,29,153.02133630216122,329.0959425792098,0.001825156766448527,29,0.19996725,0.19899794,0.06344454,0.31057325
37,30,146.7841694895178,339.32755975984037,0.0017503612290408366,30,0.09434306,0.098784976,0.004313145,0.17384194
14,23,132.4848423525691,279.78711746027693,0.0015807616269349312,23,0.2875051,0.3009533,0.10011272,0.41051742
42,24,130.67984163947403,269.32104989876825,0.0015593921789097559,24,0.110986836,0.110409304,0.04232599,0.17352296
40,21,115.18991231173277,240.89859527349472,0.0013747629553583147,21,0.20572649,0.22297104,-0.081335746,0.33058652
33,19,96.2300644479692,222.2335709631443,0.0011484494729650057,19,0.10384106,0.10040327,0.04869173,0.17594457
47,17,90.19904083199799,203.0004578260705,0.0010766542977580281,17,0.12089475,0.11967795,0.082752265,0.15902855
30,14,74.8452265560627,151.93083978444338,0.0008937814795344401,14,0.23023413,0.23919478,0.12689558,0.30673233
44,16,69.99249583482742,163.6854216605425,0.0008356455169444197,16,0.13053393,0.11855145,0.09174606,0.19053009
45,13,66.70175106823444,139.64734190702438,0.0007965725147330851,13,0.22824878,0.23394337,0.0911789,0.29418883
29,12,64.59280398488045,129.63197473436594,0.0007714611336259309,12,0.2546147,0.25976223,0.179468,0.34483603
43,12,63.674306496977806,129.6398167014122,0.0007604824944119613,12,0.36063597,0.38665366,0.062163826,0.43809032
46,8,37.31247883848846,77.70090020215139,0.0004457709195390127,8,0.3686863,0.43515396,0.06173983,0.4986682
