names,scores,method,logfoldchanges,pvals,pvals_adj
myl6.S,0.04356139,logreg,,,
raph1.L,0.04334137,logreg,,,
frem2.S,0.04319709,logreg,,,
cldn6.2.S,0.043108933,logreg,,,
mapt.S,0.042568997,logreg,,,
cope.L,0.042344633,logreg,,,
enc1.2.S,0.04220051,logreg,,,
aebp1.L,0.042094234,logreg,,,
chd1.L,0.042031083,logreg,,,
prdm1.L,0.041982308,logreg,,,
rsrc2.L,0.04189894,logreg,,,
tgif1.L,0.04154287,logreg,,,
klf13.L,0.04152503,logreg,,,
irs4.L,0.041368175,logreg,,,
Xelaev18041553m.g,0.041097697,logreg,,,
loc100496521.L,0.04109508,logreg,,,
atp8b2.like.L,0.04106604,logreg,,,
ywhab.S,0.040956624,logreg,,,
brd9.L,0.04082707,logreg,,,
bmp4.L,0.04067474,logreg,,,
eif2s2.S,0.040666457,logreg,,,
srsf5.S,0.040577766,logreg,,,
fam132b.L,0.040472377,logreg,,,
efnb3.L,0.040279254,logreg,,,
atp5j.L,0.040157177,logreg,,,
ggt1.L,0.040062483,logreg,,,
ppp1r14b.L,0.03994362,logreg,,,
tmem30a.L,0.03986335,logreg,,,
wnt5a.L,0.03929743,logreg,,,
ppib.S,0.039258376,logreg,,,
anxa3.L,0.039223135,logreg,,,
pls3.L,0.03915098,logreg,,,
jmjd1c.S,0.038930863,logreg,,,
jchain.L,0.03887275,logreg,,,
rhof.L,0.03868522,logreg,,,
vasp.L,0.0385946,logreg,,,
naa10.S,0.038469605,logreg,,,
ckm.L,0.03835825,logreg,,,
tmed7.L,0.03825222,logreg,,,
trip11.L,0.038240213,logreg,,,
arhgef10.L,0.03807226,logreg,,,
Xelaev18042402m.g,0.03804205,logreg,,,
atp1b1.L,0.038019653,logreg,,,
plk2.L,0.037965324,logreg,,,
hoxd10.S,0.037936218,logreg,,,
ngfr.L,0.037866578,logreg,,,
Xelaev18017960m.g,0.037629597,logreg,,,
gpx8.S,0.037626244,logreg,,,
fut11.L,0.037622,logreg,,,
usmg5.L,0.03755624,logreg,,,
glrx.S,0.037499923,logreg,,,
qser1.L,0.037490852,logreg,,,
ifitm1.S,0.037461698,logreg,,,
Xelaev18043640m.g,0.037379865,logreg,,,
unc5b.S,0.037377574,logreg,,,
loc100488382.L,0.037339143,logreg,,,
carhsp1.S,0.037338167,logreg,,,
ppox.L,0.037312854,logreg,,,
nr1d1.L,0.037231445,logreg,,,
Xelaev18035740m.g,0.037221063,logreg,,,
rin2.S,0.037206,logreg,,,
bcam.L,0.036801472,logreg,,,
capn13.L,0.03675133,logreg,,,
nktr.S,0.036731146,logreg,,,
fkbp2.L,0.036573194,logreg,,,
lamb1.L,0.03647746,logreg,,,
Xelaev18041402m.g,0.036163706,logreg,,,
pdap1.S,0.036134616,logreg,,,
pdcd5.S,0.03612303,logreg,,,
Xelaev18017743m.g,0.03607995,logreg,,,
adal.L,0.036031127,logreg,,,
mob2.2.S,0.03585575,logreg,,,
mus81.L,0.03583868,logreg,,,
loc101733625.S,0.035826787,logreg,,,
