only_tableS3
adamts18
dlx2
fgf10
fgfr4
galnt15
gdf6
ism2
jchain
lamb2
loc100486832
loc100488523
loc100492954
loc100493805
loc100498358
mmp28
pzp
robo4
tp73
tspear
xelaev18034799m
xelaev18043128m
xelaev18044182m
xelaev18046800m
