only_notebook
acvr1
adamts1
anxa1
apoc1.like
app
arpc5
atp1b1
azin2
bace2
bambi
bcam
bhlha9
bmp2
bmp4
bmp7.1
btg1
c3
calm1
ccdc3
cdh1
cldn1
cldn6.1
cldn6.2
col14a1
col1a1
col27a1
copa
cox7a2l
cpamd8
cpz
ctnnb1
ctsv
dlx3
efemp2
enc1.2
epcam
ereg
fabp3
fam83b
fn1
fras1
frem2.1
fstl1
gjb3
gpx3
gpx7
hes1
hes4
hexim1
higd1a
hmcn1
hpgd
id3
krt12
krt16
krt18
krt5.7
krt8
lama1
lama5
lamc1
lmo7
loc100127750
loc100486548
loc100490088
loc100494515.like
loc100497154
lum
ly6g6c
mdk
megf6
mmp19.like.2
mmp3
msx2
mxra5
myh9
myl6
nccrp1
net1
optc
p4hb
plk2
prdm1
ptgs1
rhou
s100a11
snai2
sox11
sp8
sparc
tmem263
tmsb4x
ube2h
uqcrfs1
vcan
vwa2
xelaev18017960m.g
xelaev18026267m.g
xelaev18036372m.g
xelaev18038148m.g
xelaev18043128m.g
xelaev18045096m.g
xelaev18045649m.g
xetrov90029035m
zfp36l1
