names,scores,method,logfoldchanges,pvals,pvals_adj
ctnnb1.S,0.05501439,logreg,,,
Xelaev18045096m.g,0.05491883,logreg,,,
prdm1.S,0.054465257,logreg,,,
col27a1.S,0.05411972,logreg,,,
gpx3.L,0.053606737,logreg,,,
cpa6.L,0.053483907,logreg,,,
loc100497154.S,0.052846584,logreg,,,
azin2.S,0.052790206,logreg,,,
snai2.L,0.052693967,logreg,,,
rhou.S,0.052023437,logreg,,,
p4hb.L,0.051743288,logreg,,,
krt12.S,0.05140966,logreg,,,
lmo7.L,0.051340014,logreg,,,
cpa6.S,0.051187977,logreg,,,
lamc1.L,0.051177964,logreg,,,
egfl6.L,0.05106923,logreg,,,
bace2.L,0.05005665,logreg,,,
nccrp1.L,0.04971753,logreg,,,
vwde.L,0.0481231,logreg,,,
copa.L,0.04737691,logreg,,,
loc100492954.S,0.046575624,logreg,,,
gpx7.L,0.04641657,logreg,,,
lef1.S,0.04586261,logreg,,,
cox7a2l.L,0.045467958,logreg,,,
fam83b.S,0.045212787,logreg,,,
c3.L,0.045195267,logreg,,,
ctsv.S,0.044452522,logreg,,,
hes1.S,0.04438714,logreg,,,
ube2h.S,0.044336338,logreg,,,
enc1.2.S,0.044303577,logreg,,,
snai2.S,0.043767724,logreg,,,
bambi.S,0.043707255,logreg,,,
anxa1.S,0.04342364,logreg,,,
higd1a.L,0.04328324,logreg,,,
atp1b1.L,0.043181717,logreg,,,
uqcrfs1.S,0.04246497,logreg,,,
myl6.S,0.042346627,logreg,,,
s100a11.L,0.042303815,logreg,,,
plk2.L,0.04192397,logreg,,,
fbn2.S,0.041847408,logreg,,,
bmp5.L,0.041713614,logreg,,,
hes9.1.S,0.041605882,logreg,,,
epcam.L,0.04160162,logreg,,,
hbg2.L,0.041461017,logreg,,,
cst3.L,0.041377455,logreg,,,
jag1.L,0.04129454,logreg,,,
sema3f.L,0.041254293,logreg,,,
fn1.L,0.04081677,logreg,,,
anxa2.S,0.040768746,logreg,,,
Xelaev18042944m.g,0.04025776,logreg,,,
krt.S,0.039963175,logreg,,,
dlx2.S,0.03979829,logreg,,,
arpc2.L,0.0397297,logreg,,,
sec61b.L,0.039604977,logreg,,,
smdt1.S,0.0395448,logreg,,,
